,Unnamed: 0,publicationName,source_id,issn,eIssn,aggregationType,count,q_issn
190,197,Microbial Ecology,20266,00953628,,Journal,2.0,00953628
191,199,Frontiers in Plant Science,21100313905,,1664462X,Journal,2.0,1664462X
192,200,Frontiers in Neural Circuits,19700175165,16625110,,Journal,2.0,16625110
193,201,Conservation Physiology,21100776051,,20511434,Journal,2.0,20511434
194,202,Frontiers in Ecology and the Environment,144675,15409295,15409309,Journal,2.0,15409309
195,203,Neuroscience,18042,03064522,18737544,Journal,2.0,18737544
196,204,Ibis,22021,00191019,1474919X,Journal,2.0,1474919X
197,205,Frontiers in Ecology and Evolution,21100834704,,2296701X,Journal,2.0,2296701X
198,206,Nature Geoscience,17600155041,17520894,17520908,Journal,2.0,17520908
199,207,Molecular Biology of the Cell,18605,10591524,,Journal,1.0,10591524
200,208,Global and Planetary Change,27049,09218181,,Journal,1.0,09218181
201,209,Journal of Applied Toxicology,25126,0260437X,10991263,Journal,1.0,10991263
202,210,Geosciences (Switzerland),21100284944,,20763263,Journal,1.0,20763263
203,211,American Fisheries Society Symposium,29410,08922284,,Journal,1.0,08922284
204,212,Journal of Wildlife Management,18609,0022541X,,Journal,1.0,0022541X
205,214,Journal of Water and Health,17512,14778920,,Journal,1.0,14778920
206,215,Perspectives in Ecology and Conservation,21100817643,25300644,,Journal,1.0,25300644
207,216,Analytical Biochemistry,16789,00032697,,Journal,1.0,00032697
208,217,Marine Biology Research,100147333,17451000,17451019,Journal,1.0,17451019
209,218,Endocrine-Related Cancer,26035,13510088,14796821,Journal,1.0,14796821
210,219,Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,22556,0022104X,,Journal,1.0,0022104X
211,220,Aquatic Botany,16728,03043770,,Journal,1.0,03043770
212,221,American Journal of Bioethics,21676,15265161,15360075,Journal,1.0,15360075
213,222,Progress in cell cycle research,19022,10872957,,Journal,1.0,10872957
214,223,Journal of Entomological Science,20481,07498004,,Journal,1.0,07498004
215,224,Northeastern Naturalist,19941,10926194,,Journal,1.0,10926194
216,226,Oncogene,12523,09509232,,Journal,1.0,09509232
217,227,Journal of Insect Behavior,20484,08927553,,Journal,1.0,08927553
218,228,Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences,24172,15700232,,Journal,1.0,15700232
219,229,Stem Cell Reports,21100248838,22136711,,Journal,1.0,22136711
220,230,Canadian Acoustics - Acoustique Canadienne,12971,07116659,,Journal,1.0,07116659
221,231,Journal of Proteome Research,17625,15353893,,Journal,1.0,15353893
222,232,Journal of the Science of Food and Agriculture,33928,00225142,10970010,Journal,1.0,10970010
223,233,Journal of Comparative Psychology,15431,07357036,,Journal,1.0,07357036
224,234,Hormone and Metabolic Research,26119,00185043,,Journal,1.0,00185043
225,236,Diatom Research,17972,0269249X,21598347,Journal,1.0,21598347
226,237,International Journal of Remote Sensing,22674,01431161,13665901,Journal,1.0,13665901
227,238,Journal of Chromatography A,130000,00219673,,Journal,1.0,00219673
228,239,Toxicological Sciences,25218,10966080,10960929,Journal,1.0,10960929
229,240,Water SA,19375,03784738,18167950,Journal,1.0,18167950
230,241,Developmental and Comparative Immunology,20775,0145305X,18790089,Journal,1.0,18790089
231,242,Ohio Journal of Science,22176,00300950,,Journal,1.0,00300950
232,244,Check List,19700188151,,1809127X,Journal,1.0,1809127X
233,245,American Journal of Obstetrics and Gynecology,30078,00029378,,Journal,1.0,00029378
234,246,Isotopes in Environmental and Health Studies,24138,10256016,14772639,Journal,1.0,14772639
235,247,Animal Conservation,17180,13679430,14691795,Journal,1.0,14691795
236,248,Kennedy Institute of Ethics Journal,16480,10546863,,Journal,1.0,10546863
237,249,Nature Ecology and Evolution,21100831440,,2397334X,Journal,1.0,2397334X
238,250,Oceanological Studies,66993,1505232X,,Journal,1.0,1505232X
239,251,Cancer Gene Therapy,29127,09291903,,Journal,1.0,09291903
240,252,Bioinformatics,17945,13674803,,Journal,1.0,13674803
241,253,IEEE Journal of Oceanic Engineering,17277,03649059,,Journal,1.0,03649059
242,254,Mutation Research - Environmental Mutagenesis and Related Subjects,31756,01651161,,Journal,1.0,01651161
243,255,Cell &amp; Tissue Research,18446,0302766X,14320878,Journal,1.0,14320878
244,256,BioEssays,13174,02659247,15211878,Journal,1.0,15211878
245,258,Developmental Genetics,38446,0192253X,15206408,Journal,1.0,15206408
246,259,SAE Technical Papers,21100929537,0148-7191,2688-3627,Journal,1.0,2688-3627
247,260,Molecular Microbiology,20298,0950382X,,Journal,1.0,0950382X
248,261,Journal of Geochemical Exploration,23222,03756742,,Journal,1.0,03756742
249,262,Canadian Journal of Plant Science,17406,00084220,,Journal,1.0,00084220
250,263,Clinical Biochemistry,16954,00099120,,Journal,1.0,00099120
251,264,Environmental Science and Pollution Research,23918,09441344,16147499,Journal,1.0,16147499
252,265,Current Genetics,22074,01728083,14320983,Journal,1.0,14320983
253,266,Chinese Journal of Biomedical Engineering,21456,02588021,,Journal,1.0,02588021
254,267,Chemical Senses,23377,0379864X,,Journal,1.0,0379864X
255,268,Avian Research,21100468931,,20537166,Journal,1.0,20537166
256,269,Applied Animal Behaviour Science,24609,01681591,,Journal,1.0,01681591
257,270,Monographs in developmental biology,96436,00770825,,Journal,1.0,00770825
258,271,Visual Neuroscience,19959,09525238,14698714,Journal,1.0,14698714
259,272,Microscopy Research and Technique,20920,1059910X,10970029,Journal,1.0,10970029
260,274,Trends in Genetics,19049,01689525,,Journal,1.0,01689525
261,275,Journal of Plankton Research,29635,01427873,,Journal,1.0,01427873
262,276,Chronobiology International,14409,07420528,15256073,Journal,1.0,15256073
263,277,Ecological Engineering,20291,09258574,,Journal,1.0,09258574
264,279,Planta,16646,00320935,14322048,Journal,1.0,14322048
265,280,Water Resources Bulletin,39598,00431370,,Journal,1.0,00431370
266,281,Reviews on Environmental Health,25263,00487554,,Journal,1.0,00487554
267,282,BioTechniques,15459,07366205,,Journal,1.0,07366205
268,283,Journal of Cellular Biochemistry,17598,07302312,,Journal,1.0,07302312
269,284,Annals of Surgical Oncology,39465,10689265,,Journal,1.0,10689265
270,285,Applied and Environmental Microbiology,19618,00992240,,Journal,1.0,00992240
271,286,JARO - Journal of the Association for Research in Otolaryngology,13744,15253961,,Journal,1.0,15253961
272,287,Mechanisms of Development,18579,09254773,,Journal,1.0,09254773
273,288,FASEB Journal,15048,08926638,,Journal,1.0,08926638
274,289,Fisheries Science,12786,09199268,14442906,Journal,1.0,14442906
275,290,Biotechnology Advances,15461,07349750,,Journal,1.0,07349750
276,291,Lakes and Reservoirs: Research and Management,17567,13205331,14401770,Journal,1.0,14401770
277,292,Nature Structural Biology,39845,10728368,,Journal,1.0,10728368
278,293,Cancer Informatics,4700151712,,11769351,Journal,1.0,11769351
279,294,Experimental Cell Research,18532,00144827,,Journal,1.0,00144827
280,295,Biochemical and Biophysical Research Communications,16845,0006291X,,Journal,1.0,0006291X
281,296,Genome Research,22214,10889051,,Journal,1.0,10889051
282,297,Journal of Shellfish Research,22586,07308000,,Journal,1.0,07308000
283,299,Journal of Aquatic Ecosystem Stress and Recovery,70809,13861980,,Journal,1.0,13861980
284,300,New Zealand Journal of Marine and Freshwater Research,27910,00288330,11758805,Journal,1.0,11758805
285,301,Ecosystems,20343,14329840,,Journal,1.0,14329840
286,302,Genes and Development,22126,08909369,,Journal,1.0,08909369
287,303,Diabetologia,25584,0012186X,,Journal,1.0,0012186X
288,304,Biochimica et Biophysica Acta - Protein Structure and Molecular Enzymology,52056,01674838,,Journal,1.0,01674838
289,305,Nature Cell Biology,19014,14657392,,Journal,1.0,14657392
290,306,Mammalian Genome,18962,09388990,,Journal,1.0,09388990
291,307,Comparative Biochemistry and Physiology - C Pharmacology Toxicology and Endocrinology,15300154800,07428413,,Journal,1.0,07428413
292,308,Molecular Immunology,14156,01615890,,Journal,1.0,01615890
293,309,Experimental Neurology,15598,00144886,,Journal,1.0,00144886
294,310,North American Journal of Fisheries Management,17720,02755947,15488675,Journal,1.0,15488675
295,311,European Journal of Neuroscience,15550,0953816X,14609568,Journal,1.0,14609568
296,312,Behavioural Processes,14288,03766357,18728308,Journal,1.0,18728308
297,313,Brain Research Reviews,14351,01650173,,Journal,1.0,01650173
298,314,Journal of Arachnology,22540,01618202,,Journal,1.0,01618202
299,316,BMC Ecology,13115,,14726785,Journal,1.0,14726785
300,317,PLoS Genetics,4000151808,15537390,15537404,Journal,1.0,15537404
301,318,Ecological Complexity,20289,1476945X,,Journal,1.0,1476945X
302,322,Journal of Limnology,29608,11295767,,Journal,1.0,11295767
303,323,Energy,29348,03605442,,Journal,1.0,03605442
304,324,Autophagy,3900148405,15548627,15548635,Journal,1.0,15548635
305,325,Bioscience Education,21100220137,,14797860,Journal,1.0,14797860
306,326,Oikos,24674,00301299,16000706,Journal,1.0,16000706
307,327,X-Ray Spectrometry,24571,00498246,10974539,Journal,1.0,10974539
308,329,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,5200153114,19325223,19325231,Journal,1.0,19325231
309,330,Journal of International Wildlife Law and Policy,23416,13880292,15481476,Journal,1.0,15481476
310,331,Evolutionary Biology,22105,00713260,,Journal,1.0,00713260
311,332,Journal of Herpetology,22562,00221511,,Journal,1.0,00221511
312,334,Human Dimensions of Wildlife,5800173380,10871209,1533158X,Journal,1.0,1533158X
313,335,Cell Reports,21100201068,,22111247,Journal,1.0,22111247
314,336,Oncotarget,19900191708,,19492553,Journal,1.0,19492553
315,338,Clinical and Experimental Metastasis,29256,02620898,15737276,Journal,1.0,15737276
316,339,Evolutionary Ecology,21606,02697653,,Journal,1.0,02697653
317,340,Reproductive Biology,69085,1642431X,,Journal,1.0,1642431X
318,341,Journal of Environmental Quality,23375,00472425,15372537,Journal,1.0,15372537
319,344,Ozone: Science and Engineering,13656,01919512,15476545,Journal,1.0,15476545
320,345,Frontiers in Zoology,130152,,17429994,Journal,1.0,17429994
321,346,Breast Cancer Research and Treatment,28766,01676806,15737217,Journal,1.0,15737217
322,347,Journal of Insects as Food and Feed,21100830759,,23524588,Journal,1.0,23524588
323,348,Food Webs,21100365104,,23522496,Journal,1.0,23522496
324,349,Cytotechnology,18523,09209069,15730778,Journal,1.0,15730778
325,350,Animal Biotelemetry,21100810702,,20503385,Journal,1.0,20503385
326,351,Behavioural Brain Research,14285,01664328,18727549,Journal,1.0,18727549
327,353,Waste Management,26490,0956053X,18792456,Journal,1.0,18792456
328,356,Preventive Veterinary Medicine,18838,01675877,,Journal,1.0,01675877
329,357,Journal of Applied Ichthyology,22536,01758659,14390426,Journal,1.0,14390426
330,358,Biochemistry and Molecular Biology Education,58622,14708175,15393429,Journal,1.0,15393429
331,359,Leukemia and Lymphoma,26016,10428194,10292403,Journal,1.0,10292403
332,360,Renewable Energy,27569,09601481,18790682,Journal,1.0,18790682
333,361,Parasites and Vectors,17500154721,,17563305,Journal,1.0,17563305
334,362,Reviews in Fish Biology and Fisheries,23366,09603166,,Journal,1.0,09603166
335,363,Journal of Physiology,23478,00223751,14697793,Journal,1.0,14697793
336,364,Cancer Cell,29093,15356108,18783686,Journal,1.0,18783686
337,365,Journal of Biomedical Informatics,23706,15320464,,Journal,1.0,15320464
338,366,Fisheries,12760,03632415,,Journal,1.0,03632415
339,367,Waterbirds,50120,15244695,,Journal,1.0,15244695
340,368,Frontiers in Neurology,21100212316,,16642295,Journal,1.0,16642295
341,369,Oncoscience,21100446518,,23314737,Journal,1.0,23314737
342,371,Fisheries Management and Ecology,12762,0969997X,13652400,Journal,1.0,13652400
343,372,North American Journal of Aquaculture,17719,15222055,15488454,Journal,1.0,15488454
344,373,Journal of Chemical and Engineering Data,24158,00219568,15205134,Journal,1.0,15205134
345,374,European Journal of Cell Biology,18531,01719335,,Journal,1.0,01719335
346,375,Plant Pathology,16614,00320862,13653059,Journal,1.0,13653059
347,376,F1000 Biology Reports,19700176055,17404118,1757594X,Journal,1.0,1757594X
348,377,DNA Repair,17425,15687864,,Journal,1.0,15687864
349,378,Journal of Computational Biology,29581,10665277,,Journal,1.0,10665277
350,379,Toxicological and Environmental Chemistry,25217,02772248,10290486,Journal,1.0,10290486
351,380,Plant Disease,60195,01912917,,Journal,1.0,01912917
352,381,Animal Cognition,29520,14359448,,Journal,1.0,14359448
353,383,International Journal on Algae,19130,15219429,,Journal,1.0,15219429
354,384,International Journal of Developmental Biology,29499,02146282,,Journal,1.0,02146282
355,385,Bulletin of Entomological Research,19704,00074853,14752670,Journal,1.0,14752670
356,386,Ecosphere,21100307458,,21508925,Journal,1.0,21508925
357,387,Journal of the Royal Society Interface,4000151907,17425689,17425662,Journal,1.0,17425662
358,388,Immunogenetics,22271,00937711,14321211,Journal,1.0,14321211
359,389,Aquatic Conservation: Marine and Freshwater Ecosystems,17182,10527613,10990755,Journal,1.0,10990755
360,390,Ecological Entomology,19779,03076946,13652311,Journal,1.0,13652311
361,391,Journal of Biological Chemistry,17592,00219258,1083351X,Journal,1.0,1083351X
362,394,Biochimica et Biophysica Acta - Biomembranes,18406,00052736,,Journal,1.0,00052736
363,395,Cell Stress and Chaperones,29144,13558145,14661268,Journal,1.0,14661268
364,396,Journal of Theoretical Biology,29663,00225193,10958541,Journal,1.0,10958541
365,397,Acta Ethologica,24090,08739749,,Journal,1.0,08739749
366,398,Journal of Crustacean Biology,22543,02780372,,Journal,1.0,02780372
367,400,Journal of the Canadian Society of Forensic Science,12426,00085030,,Journal,1.0,00085030
368,401,Marine Environmental Research,24021,01411136,,Journal,1.0,01411136
369,402,Geobiology,4000148310,14724677,14724669,Journal,1.0,14724669
370,405,Journal of Coastal Conservation,27372,14000350,,Journal,1.0,14000350
371,406,Journal of Chemical Technology and Biotechnology,16083,02682575,10974660,Journal,1.0,10974660
372,407,Agronomy Journal,15639,00021962,14350645,Journal,1.0,14350645
